id,tournamentid,countryid,name,isactive
7615,113,4,2017/2018,0
7616,113,4,2018/2019,1
7617,114,8,2013/2014,0
7618,114,8,2014/2015,0
7619,114,8,2015/2016,0
7620,114,8,2016/2017,0
7621,114,8,2017/2018,0
7622,114,8,2018/2019,0
7623,114,8,2019/2020,1
7624,115,35,2014,0
7625,115,35,2015,0
7626,115,35,2016,0
7627,115,35,2017,0
7628,115,35,2018,0
7629,115,35,2019,1
7630,116,22,2013,0
7631,116,22,2014,0
7632,116,22,2015,0
7633,116,22,2016,0
7634,116,22,2017,0
7635,116,22,2018,0
7636,116,22,2019,1
7637,117,18,2012/2013,0
7638,117,18,2013/2014,0
7639,117,18,2014/2015,0
7640,117,18,2015/2016,0
7641,117,18,2016/2017,0
7642,117,18,2017/2018,0
7643,117,18,2018/2019,0
7644,117,18,2019/2020,1
7645,118,27,2013,0
7646,118,27,2014,0
7647,118,27,2015,0
7648,118,27,2016,0
7649,118,27,2017,0
7650,118,27,2018,0
7651,118,27,2019,1
7652,119,32,2013/2014,0
7653,119,32,2014/2015,0
7654,119,32,2015/2016,0
7655,119,32,2016/2017,0
7656,119,32,2017/2018,0
7657,119,32,2018/2019,0
7658,119,32,2019/2020,1
7659,120,72,2011/2012,0
7660,120,72,2012/2013,0
7661,120,72,2013/2014,0
7662,120,72,2014/2015,0
7663,120,72,2015/2016,0
7664,120,72,2016/2017,0
7665,120,72,2017/2018,0
7666,120,72,2018/2019,0
7667,120,72,2019/2020,1
7668,121,69,2012,0
7669,121,69,2013,0
7670,121,69,2014,0
7671,121,69,2015,0
7672,121,69,2016,0
7673,121,69,2017,0
7674,121,69,2018,0
7675,121,69,2019,1
7676,122,57,2013/2014,0
7677,122,57,2014/2015,0
7678,122,57,2015/2016,0
7679,122,57,2016/2017,0
7680,122,57,2017/2018,0
7681,122,57,2018/2019,1
7682,123,36,2014/2015,0
7683,123,36,2015/2016,0
7684,123,36,2016/2017,0
7685,123,36,2017/2018,0
7686,123,36,2018/2019,0
7687,123,36,2019/2020,1
7688,124,74,2014/2015,0
7689,124,74,2015/2016,0
7690,124,74,2016/2017,0
7691,124,74,2017/2018,0
7692,124,74,2018/2019,1
7693,125,57,2014,0
7694,125,57,2015,0
7695,125,57,2016,0
7696,125,57,2017,0
7697,125,57,2018,0
7698,125,57,2019,1
7699,126,10,2013,0
7700,126,10,2014,0
7701,126,10,2015,0
7702,126,10,2016,0
7703,126,10,2017,0
7704,126,10,2018,0
7705,126,10,2019,1
7706,127,9,2012/2013,0
7707,127,9,2013/2014,0
7708,127,9,2014/2015,0
7709,127,9,2015/2016,0
7710,127,9,2016/2017,0
7711,127,9,2017/2018,0
7712,127,9,2018/2019,0
7713,127,9,2019/2020,1
7714,128,6,2017/2018,0
7715,128,6,2018/2019,1
7716,129,18,2012/2013,0
7717,129,18,2013/2014,0
7718,129,18,2014/2015,0
7719,129,18,2015/2016,0
7720,129,18,2016/2017,0
7721,129,18,2017/2018,0
7722,129,18,2018/2019,0
7723,129,18,2019/2020,1
7724,130,60,2012/2013,0
7725,130,60,2013/2014,0
7726,130,60,2014/2015,0
7727,130,60,2015/2016,0
7728,130,60,2016/2017,0
7729,130,60,2017/2018,0
7730,130,60,2018/2019,0
7731,130,60,2019/2020,1
7732,131,67,2012/2013,0
7733,131,67,2013/2014,0
